author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300539730/;Москва;sale;flat;1;8;2;63.0;37000000;Басманный;Чистопрудный бульвар;12К2;Чистые пруды;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/299370748/;Москва;sale;flat;3;6;2;44.0;23232000;Хорошево-Мневники; Саляма Адиля;2А;Народное Ополчение;Wellton SPA Residence
Екатерина Минибаева;realtor;https://www.cian.ru/sale/flat/303648893/;Москва;sale;flat;6;9;2;45.0;17990000;Войковский; Зои и Александра Космодемьянских;11;Войковская;
MR Group;developer;https://www.cian.ru/sale/flat/303224692/;Москва;sale;flat;12;44;2;61.78;29208367;Марьина роща; 4-я Марьиной рощи;12К3;Марьина Роща;Mod
ЗАПАДНЫЙ САД;real_estate_agent;https://www.cian.ru/sale/flat/304117173/;Москва;sale;flat;12;14;2;49.0;32899000;Раменки;проспект Генерала Дорохова;39к1А;Минская;Собрание клубных домов West Garden
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303810531/;Москва;sale;flat;5;8;2;44.7;13990000;Донской;Варшавское шоссе;18К3;Верхние котлы;
Ташир;developer;https://www.cian.ru/sale/flat/274701405/;Москва;sale;flat;2;17;2;43.3;27062500;Раменки;Мичуринский проспект;вл30Б;Ломоносовский проспект;Legacy
Основа;developer;https://www.cian.ru/sale/flat/301042098/;Москва;sale;flat;3;20;2;50.85;16188738;Преображенское;Потешная ;;Преображенская площадь;EvoPark Сокольники
Upside Development;developer;https://www.cian.ru/sale/flat/303215966/;Москва;sale;flat;11;12;2;77.0;47740000;Даниловский;2-я Рощинская ;1;Тульская;Данилов дом
Среда;developer;https://www.cian.ru/sale/flat/303626069/;Москва;sale;flat;3;27;1;35.3;14988380;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
КРОСТ;developer;https://www.cian.ru/sale/flat/296745429/;Москва;sale;flat;26;28;2;47.5;22182500;Хорошево-Мневники; Генерала Глаголева;;;CRYSTAL Трилогия
ID 82127965;unknown;https://www.cian.ru/sale/flat/304232238/;Москва;sale;flat;16;21;2;75.0;27600000;Тропарево-Никулино; Академика Анохина;2К2;Юго-Западная;
БЭЛ Девелопмент;developer;https://www.cian.ru/sale/flat/303377181/;Москва;sale;flat;3;6;2;38.7;38313000;Тверской;Долгоруковская ;25к2;Новослободская;Долгоруковская 25
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303331637/;Москва;sale;flat;8;16;2;54.6;17950000;Северное Тушино; Свободы;93;Планерная;
Ташир;developer;https://www.cian.ru/sale/flat/299137381/;Москва;sale;flat;4;21;2;47.9;19339625;Очаково-Матвеевское;Аминьевское шоссе;6;Давыдково;West Tower (Апартаменты бизнес-класса)
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/299203876/;Москва;sale;flat;2;10;1;35.0;13100000;Ростокино;проспект Мира;188Бк2;Ростокино;Триколор
Группа Родина;developer;https://www.cian.ru/sale/flat/285606685/;Москва;sale;flat;2;23;2;62.5;31200000;Ростокино;;к2;Ботанический сад;Союз ЖК
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/303226697/;Москва;sale;flat;7;12;1;39.4;7900000;;проспект Куприна;32к1;Бунинская аллея;Эко Бунино
Prime Life Development;developer;https://www.cian.ru/sale/flat/299132492/;Москва;sale;flat;6;28;2;59.76;29898807;Нагатино-Садовники;Нагатинская ;к1вл1;Нагатинская;Первый Нагатинский
SKYLINE MOSCOW CITY;real_estate_agent;https://www.cian.ru/sale/flat/297818369/;Москва;sale;flat;73;95;2;73.0;48000000;Пресненский;набережная Пресненская;12;Деловой центр;Башня Федерация
Regions Development;developer;https://www.cian.ru/sale/flat/304501755/;Москва;sale;flat;2;16;2;40.18;17672797;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304247865/;Москва;sale;flat;4;28;2;85.0;26500000;Даниловский;1-я оч.;к5;ЗИЛ;Shagal
Sminex;developer;https://www.cian.ru/sale/flat/304502160/;Москва;sale;flat;4;9;2;78.5;80090000;Пресненский;Электрический переулок;1кАБ;Белорусская;Квартал Тишинский бульвар
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/302795522/;Москва;sale;flat;2;20;2;36.0;13795200;Головинский;Михалковская ;48С4;Коптево;Михалковский
Главстрой;developer;https://www.cian.ru/sale/flat/301772285/;Москва;sale;flat;2;8;1;44.6;18727540;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
Unique;real_estate_agent;https://www.cian.ru/sale/flat/303783084/;Москва;sale;flat;6;9;2;60.0;17500000;; Ясеневая;1к1;Ольховая;
Ташир;developer;https://www.cian.ru/sale/flat/302722354/;Москва;sale;flat;2;16;2;46.8;23868000;Даниловский; Серпуховский Вал;1;Тульская;DECO RESIDENCE (Апартаменты премиум-класса)
ID 45097821;realtor;https://www.cian.ru/sale/flat/301645204/;Москва;sale;flat;2;23;2;38.0;13300000;Хорошевский; Зорге;9;Полежаевская;Зорге 9
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/302833885/;Москва;sale;flat;42;66;2;67.4;64704000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/299111448/;Москва;sale;flat;10;18;2;60.5;21000000;Зюзино;Симферопольский бульвар;24к4;Чертановская;
MR Group;developer;https://www.cian.ru/sale/flat/298871278/;Москва;sale;flat;2;19;2;53.4;19176527;Покровское-Стрешнево;;;Тушинская;Ситизен ЖК
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303788194/;Москва;sale;flat;14;29;2;50.1;29600000;Хорошево-Мневники;Шелепихинская набережная;40к3;Хорошёвская;Sydney City
Sminex;developer;https://www.cian.ru/sale/flat/303262595/;Москва;sale;flat;2;26;2;61.53;29790000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/304582590/;Москва;sale;flat;2;5;2;107.7;432768329;Пресненский;Большая Никитская ;9;Александровский сад;Stella di Mosca Hotel & Residences
Основа;developer;https://www.cian.ru/sale/flat/290856483/;Москва;sale;flat;3;19;2;43.4;36673000;Красносельский;проспект Академика Сахарова;7;Красные ворота;RED7
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298216770/;Москва;sale;flat;13;44;2;73.2;29500000;Хорошево-Мневники;к2/2;к2/2;Шелепиха;Сидней Сити ЖК
ID 95996886;realtor;https://www.cian.ru/sale/flat/302896262/;Москва;sale;flat;8;9;2;37.0;13500000;Текстильщики;Волжский бульвар;12К1;Текстильщики;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/292534789/;Москва;sale;flat;2;25;2;54.5;18393750;Соколиная гора;;;Соколиная гора;Семеновский Парк 2 ЖК
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Москва;sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/301156873/;Москва;sale;flat;2;7;2;75.0;37800000;Мещанский; Гиляровского;55;Проспект Мира;Дом на Гиляровского
Sminex;developer;https://www.cian.ru/sale/flat/294328854/;Москва;sale;flat;3;6;2;120.3;226580000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/289733275/;Москва;sale;flat;51;75;2;120.4;99000000;Пресненский;1-й Красногвардейский проезд;15;Деловой центр;Меркурий Тауэр
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/303807545/;Москва;sale;flat;14;17;2;64.0;15990000;; Бориса Пастернака;49;Мичуринец;
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/301551509/;Москва;sale;flat;5;34;2;59.1;23699100;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
Novel Estates;real_estate_agent;https://www.cian.ru/sale/flat/304373316/;Москва;sale;flat;10;34;2;64.0;48000000;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Estes;real_estate_agent;https://www.cian.ru/sale/flat/304578099/;Москва;sale;flat;3;16;1;38.5;10300000;Северное Медведково;Широкая ;1К5;Медведково;
VESPER;developer;https://www.cian.ru/sale/flat/289484529/;Москва;sale;flat;8;9;1;64.5;89010000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300983679/;Москва;sale;flat;13;21;2;80.3;54900000;Раменки;Мосфильмовская ;88к4;Раменки;Мосфильмовский
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/292414373/;Москва;sale;flat;16;22;1;15.1;7450000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
Пионер;developer;https://www.cian.ru/sale/flat/302471114/;Москва;sale;flat;16;25;2;62.46;24436113;Москворечье-Сабурово;;;Варшавская;Лайф Варшавская ЖК
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/299551213/;Москва;sale;flat;4;4;2;59.9;48000000;Пресненский;Малый Козихинский переулок;8/18;Пушкинская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/296713412/;Москва;sale;flat;2;30;1;41.0;9741600;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
Донстрой;developer;https://www.cian.ru/sale/flat/304095700/;Москва;sale;flat;3;16;2;81.6;60024960;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/300862129/;Москва;sale;flat;24;24;2;58.0;38950000;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
Основа;developer;https://www.cian.ru/sale/flat/287742395/;Москва;sale;flat;3;20;2;34.81;9416105;Северный;Новодачная ;67/68;Новодачная;ФизтехСити
TOUCH;developer;https://www.cian.ru/sale/flat/302838481/;Москва;sale;flat;6;13;2;60.31;35498000;Южнопортовый;;к3;Дубровка;Шампайн ЖК
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299655879/;Москва;sale;flat;14;24;2;46.0;31000000;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/304574974/;Москва;sale;flat;8;9;1;35.0;11800000;Теплый Стан; Теплый Стан;21К4;Тёплый Стан;
Трансстройинвест;developer;https://www.cian.ru/sale/flat/301925930/;Москва;sale;flat;11;23;2;44.1;21442891;Очаково-Матвеевское;Очаково мкр;;Озёрная;ОМ ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295983268/;Москва;sale;flat;44;44;2;86.3;42000000;Хорошево-Мневники; Шеногина;;Шелепиха;Sydney City
Главстрой;developer;https://www.cian.ru/sale/flat/296871994/;Москва;sale;flat;13;30;2;38.2;12888832;Рязанский;Рязанский проспект;;Окская;balance
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298329474/;Москва;sale;flat;7;9;2;69.9;69134455;Таганский;Серебрянический переулок;8;Китай-город;Титул на Серебрянической
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296711017/;Москва;sale;flat;6;12;2;52.0;30000000;Аэропорт;Ленинградский проспект;36с36;Динамо;ВТБ Арена парк
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302731259/;Москва;sale;flat;5;14;2;82.0;150000000;Хамовники;Трубецкая ;10;Фрунзенская;Дом на Трубецкой
Среда;developer;https://www.cian.ru/sale/flat/304434884/;Москва;sale;flat;8;30;1;31.03;15086786;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/301804977/;Москва;sale;flat;5;29;2;49.3;25990000;Хорошево-Мневники;;;Шелепиха;Сидней Сити ЖК
Level Group;developer;https://www.cian.ru/sale/flat/301565134/;Москва;sale;flat;11;23;2;34.9;;Печатники;;13;Кожуховская;Левел Южнопортовая ЖК
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;133830000;Якиманка;;;Полянка;Лаврушинский ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300610100/;Москва;sale;flat;3;24;2;70.0;46500000;Хорошево-Мневники;Шелепихинская набережная;34к3зд7;Шелепиха;Сердце Столицы
Основа;developer;https://www.cian.ru/sale/flat/301042095/;Москва;sale;flat;3;20;1;36.75;12090750;Преображенское;Потешная ;;Преображенская площадь;EvoPark Сокольники
MR Group;developer;https://www.cian.ru/sale/flat/299093496/;Москва;sale;flat;18;41;1;37.7;23930985;Даниловский;Дубининская ;59к7;Серпуховская;Павелецкая Сити
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299888104/;Москва;sale;flat;44;65;1;52.0;41000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303274502/;Москва;sale;flat;3;9;1;32.1;12690000;Южнопортовый;5-я Кожуховская ;22К2;Кожуховская;
MR Group;developer;https://www.cian.ru/sale/flat/300288766/;Москва;sale;flat;40;54;1;29.14;19101464;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
ID 107328710;realtor;https://www.cian.ru/sale/flat/296723055/;Москва;sale;flat;9;9;2;49.0;36000000;Арбат;Смоленская ;10;Смоленская;
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/272828990/;Москва;sale;flat;6;17;1;38.0;9500000;; Авиаконструктора Петлякова;7;Пыхтино;Солнцево парк
Hutton Development;developer;https://www.cian.ru/sale/flat/299066778/;Москва;sale;flat;4;17;2;87.6;50808000;Гагаринский;Ленинский проспект;38;Ленинский проспект;Lunar
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/297935793/;Москва;sale;flat;3;5;2;52.0;39000000;Донской;4-й Верхний Михайловский проезд;4к1;Шаболовская;
Liberty Estate;real_estate_agent;https://www.cian.ru/sale/flat/304275053/;Москва;sale;flat;5;9;1;32.0;13600000;Донской;Загородное шоссе;15К2;Крымская;
Снегири;developer;https://www.cian.ru/sale/flat/304281817/;Москва;sale;flat;6;8;2;167.0;160000000;Раменки;Минская ;2Вк1;Минская;Снегири Эко
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042658/;Москва;sale;flat;24;79;1;72.0;63000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/302013644/;Москва;sale;flat;3;9;2;54.3;12885390;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
MR Group;developer;https://www.cian.ru/sale/flat/298874818/;Москва;sale;flat;5;36;1;40.8;28362079;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/300667260/;Москва;sale;flat;38;40;2;115.4;79000000;Обручевский;Профсоюзная ;64к2;Новые Черёмушки;Дирижабль
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/300833061/;Москва;sale;flat;2;14;1;43.7;17900000;Лефортово;проезд Шелихова;3;Площадь Ильича;Символ
Tekta Group;developer;https://www.cian.ru/sale/flat/301260582/;Москва;sale;flat;14;27;1;28.1;19453630;Даниловский;;1;Павелецкая;Эра ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/297313098/;Москва;sale;flat;3;21;2;56.6;64200000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Екатерина Боброва;realtor;https://www.cian.ru/sale/flat/301486978/;Москва;sale;flat;4;5;2;45.0;15500000;Ростокино;проспект Мира;131;Улица Сергея Эйзенштейна;
КОРТРОС;developer;https://www.cian.ru/sale/flat/296640150/;Москва;sale;flat;5;49;2;59.19;23143290;Марьина роща;;;Марьина Роща;Тэйт ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302626552/;Москва;sale;flat;18;79;2;71.8;50000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Основа;developer;https://www.cian.ru/sale/flat/286347121/;Москва;sale;flat;2;29;2;45.7;14422920;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
Мангазея;developer;https://www.cian.ru/sale/flat/302850687/;Москва;sale;flat;4;21;1;48.0;24209040;Щукино;Щукинская ;3;Щукинская;Интонация
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/304555274/;Москва;sale;flat;27;31;2;58.1;31500000;Филевский парк;Береговой проезд;5к1;Фили;Фили Град
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/302202980/;Москва;sale;flat;5;8;2;78.1;26500000;Куркино;Юровская ;95К1;Молжаниново;
Dominanta;developer;https://www.cian.ru/sale/flat/303673907/;Москва;sale;flat;18;34;2;50.8;34137600;Раменки;Потылиха кв-л;;;hideOUT
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/287929947/;Москва;sale;flat;7;22;2;75.0;39000000;Раменки;Минская ;1ГК1;Ломоносовский проспект;Золотые Ключи 2
Estes;real_estate_agent;https://www.cian.ru/sale/flat/304519288/;Москва;sale;flat;4;21;1;45.0;27500000;Алексеевский;Новоалексеевская ;16к3;Алексеевская;Серебряный фонтан
Capital Group;developer;https://www.cian.ru/sale/flat/301482894/;Москва;sale;flat;11;18;2;45.8;56907301;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Unique;real_estate_agent;https://www.cian.ru/sale/flat/287678758/;Москва;sale;flat;4;26;1;46.0;32000000;Очаково-Матвеевское;Нежинская ;5к2;Давыдково;Городские резиденции SPIRES
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/304329908/;Москва;sale;flat;24;44;2;69.0;31700000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Главстрой;developer;https://www.cian.ru/sale/flat/296921064/;Москва;sale;flat;2;16;1;45.0;22374675;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/301355208/;Москва;sale;flat;6;6;2;145.5;158139179;Якиманка; Большая Полянка;61С2;Добрынинская;
Андрей Дмитриев;realtor;https://www.cian.ru/sale/flat/304473181/;Москва;sale;flat;3;22;2;55.5;13950000;Косино-Ухтомский; Рудневка;21;Улица Дмитриевского;
Sense Development;developer;https://www.cian.ru/sale/flat/304541771/;Москва;sale;flat;6;13;1;32.3;18928316;Даниловский;Подольское шоссе;3;Тульская;Logos
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303296300/;Москва;sale;flat;38;68;2;72.5;78000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/303637932/;Москва;sale;flat;8;28;2;61.6;30000000;Раменки;Винницкая ;8к4;Раменки;Настоящее
PIONEER;developer;https://www.cian.ru/sale/flat/303709179/;Москва;sale;flat;9;22;1;31.0;16667801;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/301716912/;Москва;sale;flat;48;64;2;104.0;88000000;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303427344/;Москва;sale;flat;10;23;2;60.0;23500000;Проспект Вернадского;проспект Вернадского;67;Проспект Вернадского;
VOS HOD;developer;https://www.cian.ru/sale/flat/300560439/;Москва;sale;flat;8;17;2;71.8;43991860;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/304330132/;Москва;sale;flat;7;15;2;120.0;149500000;Хамовники; Усачева;15;Спортивная;Садовые кварталы
ID 116114838;homeowner;https://www.cian.ru/sale/flat/301577738/;Москва;sale;flat;2;11;2;42.4;12999999;;бульвар Веласкеса;7к1;Филатов Луг;Испанские кварталы
MR Group;developer;https://www.cian.ru/sale/flat/302792284/;Москва;sale;flat;7;13;1;94.3;156589865;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/301404169/;Москва;sale;flat;3;14;2;44.0;36500000;Раменки;проспект Генерала Дорохова;39к1Б;Минская;Собрание клубных домов West Garden
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304539173/;Москва;sale;flat;23;28;1;50.0;40000000;Хорошево-Мневники; Генерала Глаголева;19;Народное Ополчение;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/300921483/;Москва;sale;flat;2;19;2;62.8;25170240;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301362196/;Москва;sale;flat;3;15;1;65.0;61000000;Раменки;Мосфильмовская ;31А;Ломоносовский проспект;KING & SONS
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/301968601/;Москва;sale;flat;2;6;1;44.3;20821000;Таганский;2-й Гончарный переулок;3;Таганская;
Forma;developer;https://www.cian.ru/sale/flat/300887190/;Москва;sale;flat;4;27;2;64.0;27504000;Аэропорт;Часовая ;28к8;Сокол;SOUL
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/289779311/;Москва;sale;flat;3;25;2;43.2;19900000;Филевский парк;Береговой проезд;5к2;Фили;Фили Град
Диана Мухамедова;realtor;https://www.cian.ru/sale/flat/297839099/;Москва;sale;flat;6;24;2;61.4;28000000;Сокол; Алабяна;13к1;Панфиловская;Мономах
Tekta Group;developer;https://www.cian.ru/sale/flat/303224347/;Москва;sale;flat;29;34;1;30.0;17388000;Обручевский;;;Воронцовская;Эвер ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299107582/;Москва;sale;flat;5;6;2;94.0;111110000;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/288255306/;Москва;sale;flat;9;17;2;56.5;19789000;Академический;Новочеремушкинская ;24К2;Профсоюзная;
MR Group;developer;https://www.cian.ru/sale/flat/303861528/;Москва;sale;flat;5;54;1;36.38;21647013;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303589233/;Москва;sale;flat;8;18;2;84.0;62750000;Тверской; Александра Невского;27;Белорусская;
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303787673/;Москва;sale;flat;3;16;2;57.0;17500000;;проспект Прокшинский;10;Прокшино;Прокшино
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380294/;Москва;sale;flat;4;19;2;62.1;25895700;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/280116651/;Москва;sale;flat;62;77;2;111.0;149000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303253613/;Москва;sale;flat;4;15;1;30.2;17500000;Хорошевский;Ходынский бульвар;20А;ЦСКА;Лайнер
MR Group;developer;https://www.cian.ru/sale/flat/303451581/;Москва;sale;flat;11;29;2;55.8;21011728;Южнопортовый;Волгоградский проспект;32/3к4;Дубровка;Метрополия
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/300577056/;Москва;sale;flat;35;78;2;83.0;63000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Юлия Самодеянко;realtor;https://www.cian.ru/sale/flat/303197556/;Москва;sale;flat;6;17;2;60.3;10300000;; Барышевская Роща;12;Щербинка;Прима-Парк
MR Group;developer;https://www.cian.ru/sale/flat/301223453/;Москва;sale;flat;2;39;2;60.57;21980883;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302999320/;Москва;sale;flat;4;8;2;69.8;60271779;Хамовники;Смоленский бульвар;22/14;Смоленская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/301597650/;Москва;sale;flat;5;9;2;44.8;14490000;Очаково-Матвеевское;Очаковское шоссе;11К1;Аминьевская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040427/;Москва;sale;flat;4;6;1;51.2;57190400;Замоскворечье;Космодамианская набережная;4/22С9;Новокузнецкая;Клубный дом Космо 4/22
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/290380827/;Москва;sale;flat;2;6;2;107.0;161897919;Таганский;Серебряническая набережная;19;Чкаловская;АртХаус
3SGroup;developer;https://www.cian.ru/sale/flat/299381088/;Москва;sale;flat;4;17;2;49.5;11498837;;;;Корниловская;FOREVILLE
Hutton Development;developer;https://www.cian.ru/sale/flat/304286459/;Москва;sale;flat;2;6;1;48.3;95634000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/292945866/;Москва;sale;flat;5;15;2;57.4;33000000;Якиманка; Шаболовка;23к2;Шаболовская;Созвездие Капитал-1
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304533287/;Москва;sale;flat;8;19;2;73.4;46000000;Хорошево-Мневники;Шелепихинская набережная;34к2зд3;Шелепиха;Сердце Столицы
Tekta Group;developer;https://www.cian.ru/sale/flat/303506233/;Москва;sale;flat;8;28;1;39.7;17789570;Нагорный;;1;Нагорная;Твелв ЖК
Биржа-Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/304425813/;Москва;sale;flat;4;18;2;108.3;45500000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
ID 116890593;homeowner;https://www.cian.ru/sale/flat/303202897/;Москва;sale;flat;10;11;1;45.0;15400000;;бульвар Андрея Тарковского;7;Рассказовка;Рассказово
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298849163/;Москва;sale;flat;3;10;1;45.5;23596300;;;В14 кв-л;Павшино;Сберсити ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302837942/;Москва;sale;flat;8;18;2;84.0;62750000;Тверской; Александра Невского;27;Белорусская;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/302727231/;Москва;sale;flat;10;18;1;34.9;14600000;Останкинский;Березовая аллея;17к1;Ботанический сад;Green park
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065730/;Москва;sale;flat;7;18;1;49.8;54145000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/296060335/;Москва;sale;flat;51;53;2;37.4;19500000;Очаково-Матвеевское;;к1;Мичуринский проспект;Левел Мичуринский ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/293510493/;Москва;sale;flat;8;22;2;87.2;38000000;Раменки; Пырьева;9К1;Поклонная;
СИТИ21;developer;https://www.cian.ru/sale/flat/296066521/;Москва;sale;flat;13;15;2;111.0;56181964;Останкинский;проспект Мира;95;Алексеевская;Hill8
